Year,Per Capita Income (US$)
1970,3399.299037
1971,3768.297935
1972,4251.175484
1973,4804.463248
1974,5576.514583
1975,5998.144346
1976,7062.131392
1977,7100.126057
1978,7247.967035
1979,7602.912681
1980,8355.96812
1981,9434.390652
1982,9619.438377
1983,10488.29714
1984,11248.99727
1985,12918.52482
1986,14526.12465
1987,15080.28345
1988,16360.40641
1989,17441.19851
1990,18601.39724
1991,19058.67986
1992,19336.06204
1993,20145.05527
1994,20430.14575
1995,21042.52369
1996,21644.3062
1997,22239.26504
1998,22898.79214
1999,23712.87804
2000,24565.71487
2001,25545.92829
2002,26466.0089
2003,27708.09793
2004,29223.03783
2005,30345.533
2006,32283.82827
2007,34228.25596
2008,36319.23501
2009,38210.15784
2010,40140.23257
2011,41088.88357
2012,42565.32887
2013,44535.08539
2014,46051.73951
2015,47882.157
